BatchNumber	PaymentNumber	PaymentDate	PaymentAmount	PaymentCurrency	VendorNumber	LocationCode	PaymentType	TransactionNumber	PaymentDescription	OriginatingAccountCode	FICode	CustomField1	CustomField2	CustomField3	CustomField4	CustomField5	InvoiceNumber	InvoiceDate	InvoiceDueDate	InvoiceOriginalAmt	InvoiceGrossAmt	InvoiceDiscountAmt	InvoiceNetAmt	PONumber	InvoiceDescription	CustomField1	CustomField2	CustomField3	CustomField4	CustomField5	test
Batch001	Deluxe1	2019-03-07T00:00:00	5000.0000	USD	ADPINC	PRIMARY	USBWIR			40520703		CF1	CF2	CF3	CF4	CF5	121-0724.304 11/17	01-02-2019T00:00:00	2018-09-18T00:00:00	115.86	115.86	0	500	3016217	121-0724.304	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe2	2019-03-07T00:00:00	1500.0000	USD	AERPHO	PRIMARY	USBWIR			40520698		CF1	CF2	CF3	CF4	CF5	43048	01-02-2019T00:00:00	2018-09-18T00:00:00	1500	1500	0	1500	3013371	Fall Food Show Sponsorship	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe3	2019-03-07T00:00:00	6000.0000	USD	AGMAC	PRIMARY	USBWIR			40520691		CF1	CF2	CF3	CF4	CF5	2038959	01-02-2019T00:00:00	2018-09-18T00:00:00	600	600	0	600	3002214	012191200 G Mayfield	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe4	2019-03-07T00:00:00	623.5777	USD	AUDI001	PRIMARY	USBWIR			40520696		CF1	CF2	CF3	CF4	CF5	9421974-9904766 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	623.58	623.58	0	623.58	3016229	9421974-9904766	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe5	2019-03-07T00:00:00	2000.0000	USD	AVIALL	PRIMARY	USBWIR			40520692		CF1	CF2	CF3	CF4	CF5	2932	01-02-2019T00:00:00	2018-09-18T00:00:00	200	200	0	200	3016204	NULL	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe6	2019-03-07T00:00:00	2363.4900	USD	AIRCEN	PRIMARY	USBWIR			40520695		CF1	CF2	CF3	CF4	CF5	110317B	01-02-2019T00:00:00	2018-09-18T00:00:00	2363.49	2363.49	0	2363.49	3012426	DIST PAYMENT 8004	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe7	2019-03-07T00:00:00	163.3900	USD	BLUKEY	PRIMARY	USBWIR			40520679		CF1	CF2	CF3	CF4	CF5	758146-352786 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	163.39	163.39	0	163.39	3013354	758146-352786	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe8	2019-03-07T00:00:00	347.7500	USD	BMW001	PRIMARY	USBWIR			40520693		CF1	CF2	CF3	CF4	CF5	255132-181530 11/17	01-02-2019T00:00:00	2018-09-18T00:00:00	347.75	347.75	0	347.75	3016232	265588-181530	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe9	2019-03-07T00:00:00	136.4800	USD	CADCUT	PRIMARY	USBWIR			40520694		CF1	CF2	CF3	CF4	CF5	265588-181530 11/17	01-02-2019T00:00:00	2018-09-18T00:00:00	136.48	136.48	0	136.48	3016230	265588-181530	CF1	CF2	CF3	CF4	CF5	1
Batch001	Deluxe10	2019-03-07T00:00:00	177191.8800	USD	ZEN001	PRIMARY	USBWIR			40520700		CF1	CF2	CF3	CF4	CF5	152570-1200 11/9/17	01-02-2019T00:00:00	2018-09-18T00:00:00	177191.88	177191.88	0	177191.88	3015612	152570-1200	CF1	CF2	CF3	CF4	CF5	1
