VendorNumber	VendorName	LocationCode	PaymentType	Address1	Address2	Address3	Address4	City	State	Zipcode	Country	CountryCode	DeliveryMethod	Signature	Template	Test
ADPINC	"ADP, Inc."	PRIMARY		P.O. Box 842875	add2	add3		Boston	MA	23568	USA	US				1
AERPHO	Aerial Photos Elite LLC	PRIMARY	USBCRD	1009 Scenic Court	add2	add3		North Augusta	SC	23568	USA	US	POST	D0719	fasdfjhsdjhf	1
AGMAC	A&G Machine	PRIMARY		1231 37th Street	add2	add3		Auburn	WA	23568	USA	US				1
AIRCEN	Air Centers of South Carolina	PRIMARY		P.O. Box 565	add2	add3		Columbia	SC	23568	USA	US				1
AMEDRU	American Drug Testing	PRIMARY		749 Bells Highway	add2	add3		Walterboro	SC	23568	USA	US				1
ATLFAS	Atlantic Fasteners	PRIMARY		49 Heywood Ave.	add2	add3		West Springfield	MA	23568	USA	US				1
AUDI001	AUDI	PRIMARY	USBWIR	AUDIAddress	add2	add3	AUDIAddress	Chennai	TN	23568	INDIA	IN				1
AVIALL	AVIALL	PRIMARY		P.O. Box 842267	add2	add3		Dallas	TX	23568	USA	US				1
BLUKEY	Blue Key Inc.	PRIMARY		"7 Radcliff Street,"	add2	add3		Charleston	SC	23568	USA	US	POST	Sig123	Temp123	1
BMW001	BWM	PRIMARY	USBACH	BWMAddress	add2	add3	BWMAddress	Kochi	KL	23568	INDIA	IN				1
CADCUT	"Cad Cut, Inc."	PRIMARY		c/o Web Industries	add2	add3		Boston	MA	23568	USA	US	POST	jadjjfj	asdjfjd	1
CUTDYN	Cutting Dynamics	PRIMARY		980 Jacox Road	add2	add3		Avon	OH	23568	USA	US	POST	jyyjjfj	aujfjd	1
JAGUAR001	JAGUAR	PRIMARY	USBCHK	JAGUARAddress	add2	add3	JAGUARAddress	Bombay	KA	23568	INDIA	IN	POST	C719	ajhsdjhf	1
PRCDES	"Prc-Desoto International, Inc."	PRIMARY		PO Box 534985	add2	add3		Atlanta	GA	23568	USA	US	POST	11yjjfj	11jfjd	1
TATA_new	TATA_NEW	PRIMARY	MCCRD	TATAAddress	add2	add3	TATAAddress	Goa	GA	23568	INDIA	IN				1
TATA001	TATA	PRIMARY	MCCRD	TATAAddress	add2	add3	TATAAddress	Goa	GA	23568	INDIA	IN	POST	D0719	fasdfjhsdjhf	1
VOLVO001	VOLVO	PRIMARY	USBCRD	VOLVOAddress	add2	add3	VOLVOAddress	Delhi	DL	23568	INDIA	IN	POST	D0719	fasdfjhsdjhf	1
ZEN001	ZEN	PRIMARY	MCCRD	TATAAddress	add2	add3	TATAAddress	Bangalore	KA	23568	INDIA	IN				1
