VendorNumber	VendorName	PaymentType	TaxId	Test
ADPINC	"ADP, Inc."			1
AERPHO	Aerial Photos Elite LLC			1
AGMAC	A&G Machine			1
AIRCEN	Air Centers of South Carolina			1
AMEDRU	American Drug Testing			1
ATLFAS	Atlantic Fasteners			1
AUDI001	AUDI	USBWIR	1231	1
AVIALL	AVIALL			1
BLUKEY	Blue Key Inc.			1
BMW001	BWM	USBACH	123111	1
CADCUT	"Cad Cut, Inc."			1
CUTDYN	Cutting Dynamics			1
JAGUAR001	JAGUAR	USBCHK	12345	1
PRCDES	"Prc-Desoto International, Inc."			1
TATA_new	TATA_NEW	MCCRD	122256	1
TATA001	TATA	MCCRD	122256	1
VOLVO001	VOLVO	USBCRD	1234	1
ZEN001	ZEN	MCCRD	123456	1
